name;Último club;Nuevo club;Coste;Amount;Mercado
Mikel Merino;Newcastle Utd.;Real Sociedad;12,00 mill. €;12000000;VERANO
Kévin Malcuit;LOSC Lille;SSC Napoli;12,00 mill. €;12000000;VERANO
M'Baye Niang;AC Milan;Torino;12,00 mill. €;12000000;VERANO
Jeison Murillo;Inter de Milán;Valencia CF;12,00 mill. €;12000000;VERANO
Willy Boly;FC Porto;Wolverhampton;12,00 mill. €;12000000;VERANO
Yerry Mina;Palmeiras;FC Barcelona;11,80 mill. €;11800000;INVIERNO
Lucas Pratto;São Paulo;River Plate;11,50 mill. €;11500000;INVIERNO
Dusan Tadic;FC Southampton;AFC Ajax;11,40 mill. €;11400000;VERANO
Josh Murphy;Norwich;Cardiff;11,40 mill. €;11400000;VERANO
Benik Afobe;Bournemouth;Wolverhampton;11,40 mill. €;11400000;VERANO
Bobby Reid;Bristol City;Cardiff;11,35 mill. €;11350000;VERANO
David Brooks;Sheffield Utd.;Bournemouth;11,30 mill. €;11300000;VERANO
Angus Gunn;Manchester City;FC Southampton;11,30 mill. €;11300000;VERANO
Tom Ince;Huddersfield;Stoke City;11,20 mill. €;11200000;VERANO
Santiago Arias;PSV Eindhoven;Atlético Madrid;11,00 mill. €;11000000;VERANO
Jonathan Viera;UD Las Palmas;BJ Sinobo Guoan;11,00 mill. €;11000000;INVIERNO
Gianluca Lapadula;AC Milan;Genoa CFC;11,00 mill. €;11000000;VERANO
Jô;Corinthians;Nagoya Grampus;11,00 mill. €;11000000;INVIERNO
Martin Terrier;LOSC Lille;Olymp. Lyonnais;11,00 mill. €;11000000;INVIERNO
Guilherme Arana;Corinthians;Sevilla FC;11,00 mill. €;11000000;INVIERNO
Cheikhou Kouyaté;West Ham Utd.;Crystal Palace;10,70 mill. €;10700000;VERANO
Yoshinori Muto;1.FSV Mainz 05;Newcastle Utd.;10,70 mill. €;10700000;VERANO
Suat Serdar;1.FSV Mainz 05;FC Schalke 04;10,50 mill. €;10500000;VERANO
Giuliano;Fenerbahce;Nasr;10,50 mill. €;10500000;VERANO
Marc Bartra;Bor. Dortmund;Real Betis;10,50 mill. €;10500000;INVIERNO
Wout Weghorst;AZ Alkmaar;VfL Wolfsburg;10,50 mill. €;10500000;VERANO
Odsonne Edouard;Paris SG;Celtic FC;10,30 mill. €;10300000;VERANO
Djaniny;Santos Laguna;Ahli;10,24 mill. €;10240000;VERANO
Jordan Hugill;Preston NE;West Ham Utd.;10,20 mill. €;10200000;INVIERNO
Bernardo;RB Leipzig;Brighton;10,00 mill. €;10000000;VERANO
Leonardo Pavoletti;SSC Napoli;Cagliari;10,00 mill. €;10000000;VERANO
Borja Iglesias;Celta de Vigo;Espanyol;10,00 mill. €;10000000;VERANO
Diego Falcinelli;Sassuolo;FC Bologna;10,00 mill. €;10000000;VERANO
Omar Mascarell;Real Madrid;FC Schalke 04;10,00 mill. €;10000000;VERANO
Vitinho;CSKA Moscú;Flamengo;10,00 mill. €;10000000;VERANO
Adama Diakhaby;Monaco;Huddersfield;10,00 mill. €;10000000;VERANO
Francesco Acerbi;Sassuolo;Lazio;10,00 mill. €;10000000;VERANO
Jordan Amavi;Aston Villa;Marseille;10,00 mill. €;10000000;VERANO
Pelé;Rio Ave FC;Monaco;10,00 mill. €;10000000;VERANO
Antonio Barreca;Torino;Monaco;10,00 mill. €;10000000;VERANO
Danilo;Braga;OGC Nice;10,00 mill. €;10000000;VERANO
Myziane Maolida;Olymp. Lyonnais;OGC Nice;10,00 mill. €;10000000;VERANO
Diafra Sakho;West Ham Utd.;Rennes;10,00 mill. €;10000000;INVIERNO
Federico Di Francesco;FC Bologna;Sassuolo;10,00 mill. €;10000000;VERANO
Soualiho Meïté;Monaco;Torino;10,00 mill. €;10000000;VERANO
Santiago Cáseres;Vélez Sarsfield;Villarreal CF;10,00 mill. €;10000000;VERANO
Davide Santon;Inter de Milán;AS Roma;9,50 mill. €;9500000;VERANO
Patrik Schick;UC Sampdoria;AS Roma;9,00 mill. €;9000000;VERANO
Alexander Sörloth;Midtjylland;Crystal Palace;9,00 mill. €;9000000;INVIERNO
Lukasz Skorupski;AS Roma;FC Bologna;9,00 mill. €;9000000;VERANO
Antonino La Gumina;US Palermo;FC Empoli;9,00 mill. €;9000000;VERANO
Riccardo Saponara;FC Empoli;Fiorentina;9,00 mill. €;9000000;VERANO
Germán Pezzella;Real Betis;Fiorentina;9,00 mill. €;9000000;VERANO
Fedor Smolov;Krasnodar;Loko Moskva;9,00 mill. €;9000000;VERANO
Jordan Siebatcheu;Reims;Rennes;9,00 mill. €;9000000;VERANO
Khouma Babacar;Fiorentina;Sassuolo;9,00 mill. €;9000000;VERANO
Pablo Maffeo;Man City U23;VfB Stuttgart;9,00 mill. €;9000000;VERANO
Ramiro Funes Mori;Everton;Villarreal CF;9,00 mill. €;9000000;VERANO
Nikola Vukcevic;Braga;Levante UD;8,90 mill. €;8900000;VERANO
Guido Pizarro;Sevilla FC;Tigres UANL;8,70 mill. €;8700000;VERANO
Keno;Palmeiras;Pyramids FC;8,60 mill. €;8600000;VERANO
Roger Martínez;Villarreal CF;América;8,50 mill. €;8500000;VERANO
Robin Olsen;FC Copenhague;AS Roma;8,50 mill. €;8500000;VERANO
Alban Lafont;Toulouse;Fiorentina;8,50 mill. €;8500000;VERANO
Samuel Kalu;KAA Gent;G. Bordeaux;8,50 mill. €;8500000;VERANO
Nordin Amrabat;Watford;Nasr;8,50 mill. €;8500000;VERANO
Andriy Lunin;Zorya Luhansk;Real Madrid;8,50 mill. €;8500000;VERANO
Aleix Vidal;FC Barcelona;Sevilla FC;8,50 mill. €;8500000;VERANO
Nicólas González;Argentinos;VfB Stuttgart;8,50 mill. €;8500000;VERANO
Hassane Bandé;KV Mechelen;AFC Ajax;8,25 mill. €;8250000;VERANO
Jean-Philippe Mateta;Olymp. Lyonnais;1.FSV Mainz 05;8,00 mill. €;8000000;VERANO
Gabriel;CD Leganés;Benfica;8,00 mill. €;8000000;VERANO
Fran Beltrán;Rayo Vallecano;Celta de Vigo;8,00 mill. €;8000000;VERANO
Sergi Darder;Olymp. Lyonnais;Espanyol;8,00 mill. €;8000000;VERANO
Mattéo Guendouzi;FC Lorient;FC Arsenal;8,00 mill. €;8000000;VERANO
Anthony Limbombe;Club Brugge;FC Nantes;8,00 mill. €;8000000;VERANO
Christian Cueva;São Paulo;Krasnodar;8,00 mill. €;8000000;VERANO
Aden Flint;Bristol City;Middlesbrough;8,00 mill. €;8000000;VERANO
Tanguy Ndombélé;SC Amiens;Olymp. Lyonnais;8,00 mill. €;8000000;VERANO
Rafik Guitane;AC Le Havre;Rennes;8,00 mill. €;8000000;INVIERNO
Bubacarr Sanneh;Midtjylland;RSC Anderlecht;8,00 mill. €;8000000;VERANO
Samuel Gigot;KAA Gent;Spartak Moskva;8,00 mill. €;8000000;VERANO
Sofiane Hanni;RSC Anderlecht;Spartak Moskva;8,00 mill. €;8000000;INVIERNO
Armando Izzo;Genoa CFC;Torino;8,00 mill. €;8000000;VERANO
Kasim Adams;BSC Young Boys;TSG Hoffenheim;8,00 mill. €;8000000;VERANO
Ignacio Pussetto;Huracán;Udinese Calcio;8,00 mill. €;8000000;VERANO
Cristiano Piccini;Sporting CP;Valencia CF;8,00 mill. €;8000000;VERANO
Admir Mehmedi;Bay. Leverkusen;VfL Wolfsburg;8,00 mill. €;8000000;INVIERNO
Lukasz Fabianski;Swansea City;West Ham Utd.;8,00 mill. €;8000000;VERANO
Stuart Armstrong;Celtic FC;FC Southampton;7,95 mill. €;7950000;VERANO
Patrick Bamford;Middlesbrough;Leeds;7,90 mill. €;7900000;VERANO
Omar Colley;KRC Genk;UC Sampdoria;7,75 mill. €;7750000;VERANO
Pierre Kunde Malong;Atlético Madrid;1.FSV Mainz 05;7,50 mill. €;7500000;VERANO
Andrea Favilli;Ascoli;Juventus;7,50 mill. €;7500000;VERANO
Valon Berisha;RB Salzburg;Lazio;7,50 mill. €;7500000;VERANO
Wendel;Fluminense;Sporting CP;7,50 mill. €;7500000;INVIERNO
Sam Johnstone;Man Utd.;West Brom;7,35 mill. €;7350000;VERANO
Oghenekaro Etebo;Feirense;Stoke City;7,20 mill. €;7200000;VERANO
Davide Bettella;Inter de Milán;Atalanta;7,00 mill. €;7000000;VERANO
Jonny Castro;Celta de Vigo;Atlético Madrid;7,00 mill. €;7000000;VERANO
Martín Montoya;Valencia CF;Brighton;7,00 mill. €;7000000;VERANO
Néstor Araujo;Santos Laguna;Celta de Vigo;7,00 mill. €;7000000;VERANO
Paulinho;Portimonense;FC Porto;7,00 mill. €;7000000;VERANO
Salif Sané;Hannover 96;FC Schalke 04;7,00 mill. €;7000000;VERANO
Hamza Mendyl;LOSC Lille;FC Schalke 04;7,00 mill. €;7000000;VERANO
Federico Dimarco;FC Sion;Inter de Milán;7,00 mill. €;7000000;VERANO
Mikel Merino;Bor. Dortmund;Newcastle Utd.;7,00 mill. €;7000000;VERANO
Pol Lirola;Juventus;Sassuolo;7,00 mill. €;7000000;INVIERNO
Tomas Vaclik;FC Basel;Sevilla FC;7,00 mill. €;7000000;VERANO
Wahbi Khazri;AFC Sunderland;St-Étienne;7,00 mill. €;7000000;VERANO
Romarinho;Al-Jazira;ttihad;7,00 mill. €;7000000;VERANO
Marcel Tisserand;FC Ingolstadt;VfL Wolfsburg;7,00 mill. €;7000000;VERANO
Carlos Bacca;AC Milan;Villarreal CF;7,00 mill. €;7000000;VERANO
Milot Rashica;Vitesse;Werder Bremen;7,00 mill. €;7000000;INVIERNO
Nicolás Castillo;UNAM Pumas;Benfica;6,85 mill. €;6850000;VERANO
Gary Madine;Bolton;Cardiff;6,80 mill. €;6800000;INVIERNO
Lewis Grabban;Bournemouth;Nottm Forest;6,80 mill. €;6800000;VERANO
Joe Bryan;Bristol City;FC Fulham;6,70 mill. €;6700000;VERANO
Federico Fernández;Swansea City;Newcastle Utd.;6,70 mill. €;6700000;VERANO
Sam Clucas;Swansea City;Stoke City;6,70 mill. €;6700000;VERANO
Maycon;Corinthians;Shakhtar D.;6,60 mill. €;6600000;VERANO
Lucas Castro;Chievo Verona;Cagliari;6,50 mill. €;6500000;VERANO
Vladyslav Supriaha;SK Dnipro-1;Dynamo Kyiv;6,50 mill. €;6500000;VERANO
Valentino Lazaro;RB Salzburg;Hertha Berlin;6,50 mill. €;6500000;VERANO
Ramadan Sobhi;Stoke City;Huddersfield;6,50 mill. €;6500000;VERANO
Riza Durmisi;Real Betis;Lazio;6,50 mill. €;6500000;VERANO
Jason Denayer;Manchester City;Olymp. Lyonnais;6,50 mill. €;6500000;VERANO
Raphinha;Vit. Guimarães;Sporting CP;6,50 mill. €;6500000;VERANO
Ronaldo Vieira;Leeds;UC Sampdoria;6,50 mill. €;6500000;VERANO
Raúl Ruidíaz;Morelia;Sounders FC;6,36 mill. €;6360000;VERANO
Raphael Dwamena;FC Zürich;Levante UD;6,20 mill. €;6200000;VERANO
Moritz Bauer;Rubin Kazan;Stoke City;6,20 mill. €;6200000;INVIERNO
Moussa Niakhaté;FC Metz;1.FSV Mainz 05;6,00 mill. €;6000000;VERANO
Zakaria Labyad;FC Utrecht;AFC Ajax;6,00 mill. €;6000000;VERANO
Ante Coric;Dinamo Zagreb;AS Roma;6,00 mill. €;6000000;VERANO
Florin Andone;RC Deportivo;Brighton;6,00 mill. €;6000000;VERANO
Youssef En-Nesyri;Málaga CF;CD Leganés;6,00 mill. €;6000000;VERANO
Okay Yokuslu;Trabzonspor;Celta de Vigo;6,00 mill. €;6000000;VERANO
Federico Santander;FC Copenhague;FC Bologna;6,00 mill. €;6000000;VERANO
Fabri;Besiktas;FC Fulham;6,00 mill. €;6000000;VERANO
Majeed Waris;FC Lorient;FC Porto;6,00 mill. €;6000000;VERANO
Federico Valietti;Inter de Milán;Genoa CFC;6,00 mill. €;6000000;VERANO
Walace;Hamburgo;Hannover 96;6,00 mill. €;6000000;VERANO
Ayoub El Kaabi;RS Berkane;HB CFFC;6,00 mill. €;6000000;VERANO
Bafétimbi Gomis;Galatasaray;Hilal;6,00 mill. €;6000000;VERANO
Uros Spajic;RSC Anderlecht;Krasnodar;6,00 mill. €;6000000;VERANO
Ronaël Pierre-Gabriel;St-Étienne;Monaco;6,00 mill. €;6000000;VERANO
Abderazak Hamdallah;Al Rayyan;Nasr;6,00 mill. €;6000000;VERANO
Érick Gutiérrez;CF Pachuca;PSV Eindhoven;6,00 mill. €;6000000;VERANO
Diego Rolan;G. Bordeaux;RC Deportivo;6,00 mill. €;6000000;VERANO
Héctor Moreno;AS Roma;Real Sociedad;6,00 mill. €;6000000;INVIERNO
William Bianda;Lens;Roma U19;6,00 mill. €;6000000;VERANO
Marlon;FC Barcelona;Sassuolo;6,00 mill. €;6000000;VERANO
Roque Mesa;Swansea City;Sevilla FC;6,00 mill. €;6000000;VERANO
Igor Coronado;US Palermo;Sharjah FC;6,00 mill. €;6000000;VERANO
Tomás Rincón;Juventus;Torino;6,00 mill. €;6000000;VERANO
Leonardo Bittencourt;1.FC Köln;TSG Hoffenheim;6,00 mill. €;6000000;VERANO
Daniel Wass;Celta de Vigo;Valencia CF;6,00 mill. €;6000000;VERANO
Borna Sosa;Dinamo Zagreb;VfB Stuttgart;6,00 mill. €;6000000;VERANO
Milton Caraglio;Atlas;CD Cruz Azul;5,98 mill. €;5980000;VERANO
Elías Hernández;León;CD Cruz Azul;5,94 mill. €;5940000;VERANO
Bremer;Atlético-MG;Torino;5,80 mill. €;5800000;VERANO
Nico Gaitán;Atlético Madrid;DL Yifang;5,75 mill. €;5750000;INVIERNO
Éder;Inter de Milán;JS Suning;5,70 mill. €;5700000;VERANO
André Horta;Benfica;Los Angeles FC;5,70 mill. €;5700000;VERANO
Paddy McNair;AFC Sunderland;Middlesbrough;5,70 mill. €;5700000;VERANO
Ricardo Centurión;Genoa CFC;Racing Club;5,70 mill. €;5700000;INVIERNO
Martyn Waghorn;Ipswich;Derby;5,60 mill. €;5600000;VERANO
James McClean;West Brom;Stoke City;5,60 mill. €;5600000;VERANO
João Moutinho;Monaco;Wolverhampton;5,60 mill. €;5600000;VERANO
José Fonte;West Ham Utd.;DL Yifang;5,57 mill. €;5570000;INVIERNO
Fabio Borini;AFC Sunderland;AC Milan;5,50 mill. €;5500000;VERANO
Rasmus Kristensen;Midtjylland;AFC Ajax;5,50 mill. €;5500000;INVIERNO
Walter Montoya;Sevilla FC;CD Cruz Azul;5,50 mill. €;5500000;INVIERNO
Javier Mascherano;FC Barcelona;HB CFFC;5,50 mill. €;5500000;INVIERNO
Richmond Boakye;Estrella Roja;JS Suning;5,50 mill. €;5500000;INVIERNO
Denzel Dumfries;Heerenveen;PSV Eindhoven;5,50 mill. €;5500000;VERANO
Angeliño;Man City U23;PSV Eindhoven;5,50 mill. €;5500000;VERANO
Fernando;Palmeiras;Shakhtar D.;5,50 mill. €;5500000;VERANO
Mário Rui;AS Roma;SSC Napoli;5,50 mill. €;5500000;INVIERNO
Vincenzo Grifo;Bor. M'gladbach;TSG Hoffenheim;5,50 mill. €;5500000;VERANO
Ishak Belfodil;Standard Lieja;TSG Hoffenheim;5,50 mill. €;5500000;VERANO
Dodô;Inter de Milán;UC Sampdoria;5,50 mill. €;5500000;INVIERNO
Carlos Eduardo;Goiás EC;Pyramids FC;5,20 mill. €;5200000;VERANO
Carlos Izquierdoz;Santos Laguna;Boca Juniors;5,15 mill. €;5150000;VERANO
Jesús Gallardo;UNAM Pumas;Monterrey;5,15 mill. €;5150000;VERANO
Adam Forshaw;Middlesbrough;Leeds;5,10 mill. €;5100000;INVIERNO
Rodriguinho;Corinthians;Pyramids FC;5,10 mill. €;5100000;VERANO
Marco Tumminello;AS Roma;Atalanta;5,00 mill. €;5000000;VERANO
Bryan Cristante;Benfica;Atalanta;5,00 mill. €;5000000;VERANO
Marco Carraro;Inter de Milán;Atalanta;5,00 mill. €;5000000;VERANO
Federico Mattiello;Juventus;Atalanta;5,00 mill. €;5000000;INVIERNO
Pietro Iemmello;Sassuolo;Benevento;5,00 mill. €;5000000;VERANO
Esteban Andrada;Lanús;Boca Juniors;5,00 mill. €;5000000;VERANO
Marius Wolf;E. de Francfort;Bor. Dortmund;5,00 mill. €;5000000;VERANO
José Manuel Arnáiz;FC Barcelona B;CD Leganés;5,00 mill. €;5000000;VERANO
