IDF;ID;Name
1277;0;Jovan Pavlovic
1278;0;Denílson
1279;0;Erik Sabo
1283;0;Abdullahi Shehu
1284;0;Robert Mazan
1285;0;Strahinja Tanasijevic
1297;0;Alexandru Stan
1300;0;Michel
1306;0;Kenan Piric
1307;0;Marko Mihojevic
1308;0;Gustavo Hamer
1309;0;Zvonimir Kozulj
1311;0;Ali Gholizadeh
1315;0;Omar El Said
1317;0;Oussama Darragi
1318;214882;Jakub Czerwinski
1319;0;Umut Meras
1320;0;Emmersón
1321;0;Elias
1322;0;Felipe Saavedra
1324;0;Rody de Boer
1330;0;Nikola Storm
1331;0;William Togui
1332;0;Florian Jamnig
1333;0;Enis Fazlagic
1334;0;Domagoj Drozdek
1340;0;Alexis Gamboa
1342;0;Hyeon-cheol Jeong
1347;0;Georgi Kostadinov
1349;202754;Cornel Rapa
1350;0;Ovidiu Bic
1351;0;Evgeni Markov
1353;0;Stefan Hajdin
1354;0;Enric Gallego
1355;0;Banou Diawara
1357;0;André Vidigal
1359;0;Paul Jaeckel
1361;0;Davide Riccardi
1363;0;Andrea Vallocchia
1364;0;Dimitrios Manos
1365;0;Moataz Zemzemi
1367;0;Leonardo Sernicola
1368;0;Niclas Thiede
1369;0;Olivier Thill
1370;0;Levy Madinda
1371;0;Abdelhakim Bassaine
1372;0;Abderrahim Makran
1373;0;Abderrahmane Bourdim
1375;0;Omar Bassam
1377;0;Antonio Vutov
1378;0;Chiquinho
1381;0;Paulo Roberto
1382;0;Kamil Zapolnik
1384;0;Emanuele Gatto
1386;233401;Aron Sigurdarson
1387;203606;Jiri Skalak
1389;0;Edimar
1391;0;Darko Bjedov
1392;0;Zoran Popovic
1393;215584;Jakub Wojcicki
