"nombre";"ultimoClub";"nuevoClub";"coste";"mercado";"IDF";"ID"
"Sandro Wagner";"TSG Hoffenheim";"Bayern Múnich";13000000;"INVIERNO";124;184069
"Gerard Deulofeu";"FC Barcelona";"Watford";13000000;"VERANO";125;202477
"Alex Pritchard";"Norwich";"Huddersfield";12350000;"INVIERNO";126;205351
"Ezequiel Barco";"Independiente";"Atlanta United";12280000;"INVIERNO";127;236007
"Matej Vydra";"Derby";"FC Burnley";12200000;"VERANO";128;198331
"Mitchell Weiser";"Hertha Berlin";"Bay. Leverkusen";12000000;"VERANO";130;206591
"Diego Rico";"CD Leganés";"Bournemouth";12000000;"VERANO";131;220414
"Mattia Perin";"Genoa CFC";"Juventus";12000000;"VERANO";132;198009
"Nacer Chadli";"West Brom";"Monaco";12000000;"VERANO";134;200529
"Maximiliano Romero";"Vélez Sarsfield";"PSV Eindhoven";12000000;"INVIERNO";135;227903
"Marcelo Saracchi";"River Plate";"RB Leipzig";12000000;"VERANO";136;240976
"Mikel Merino";"Newcastle Utd.";"Real Sociedad";12000000;"VERANO";137;225193
"Kévin Malcuit";"LOSC Lille";"SSC Napoli";12000000;"VERANO";138;198949
"M'Baye Niang";"AC Milan";"Torino";12000000;"VERANO";139;204077
"Jeison Murillo";"Inter de Milán";"Valencia CF";12000000;"VERANO";140;201377
"Willy Boly";"FC Porto";"Wolverhampton";12000000;"VERANO";141;202750
"Dusan Tadic";"FC Southampton";"AFC Ajax";11400000;"VERANO";144;199434
"Josh Murphy";"Norwich";"Cardiff";11400000;"VERANO";145;206083
"Benik Afobe";"Bournemouth";"Wolverhampton";11400000;"VERANO";146;202052
"Bobby Reid";"Bristol City";"Cardiff";11350000;"VERANO";147;203502
"David Brooks";"Sheffield Utd.";"Bournemouth";11300000;"VERANO";148;220196
"Angus Gunn";"Manchester City";"FC Southampton";11300000;"VERANO";149;216325
"Tom Ince";"Huddersfield";"Stoke City";11200000;"VERANO";150;200521
"Santiago Arias";"PSV Eindhoven";"Atlético Madrid";11000000;"VERANO";151;204259
"Jonathan Viera";"UD Las Palmas";"BJ Sinobo Guoan";11000000;"INVIERNO";152;198164
"Gianluca Lapadula";"AC Milan";"Genoa CFC";11000000;"VERANO";153;211302
"Martin Terrier";"LOSC Lille";"Olymp. Lyonnais";11000000;"INVIERNO";155;236786
"Cheikhou Kouyaté";"West Ham Utd.";"Crystal Palace";10700000;"VERANO";157;186801
