IDF;ID;Name
1363;0;Andrea Vallocchia
1364;0;Dimitrios Manos
1365;0;Moataz Zemzemi
1367;0;Leonardo Sernicola
1368;0;Niclas Thiede
1369;0;Olivier Thill
1370;0;Levy Madinda
1371;0;Abdelhakim Bassaine
1372;0;Abderrahim Makran
1373;0;Abderrahmane Bourdim
1375;0;Omar Bassam
1377;0;Antonio Vutov
1378;0;Chiquinho
1381;0;Paulo Roberto
1382;0;Kamil Zapolnik
1384;0;Emanuele Gatto
1386;0;Aron Sigurdarson
1387;0;Jiri Skalak
1389;0;Edimar
1390;229072;Lukasz Sekulski
1391;0;Darko Bjedov
1392;0;Zoran Popovic
1393;0;Jakub Wojcicki
